group_id,group_name,post_id,comment_text
-50536362,hodimvmore,542263,"[id306031173|Жека], вспомнилось про турачку...
Турачка (Валерий Канкава) / Проза.ру https://share.google/4EMOgN8ZmzqrSVSHC"
-50536362,hodimvmore,542263,"не Стамбул ,  а Истамбул
не кок, а кук"
-50536362,hodimvmore,542263,Не зад а корма!)
-50536362,hodimvmore,542263,"Не столб,а пиллерс!"
-50536362,hodimvmore,542263,Не пошёл нах*уй - а так точно товарищ капитан
-50536362,hodimvmore,542263,"Не ст механик,а дед 😄"
-50536362,hodimvmore,542263,Капитан дальнего хождения 😁
-50536362,hodimvmore,542263,"Не слухи,а утки"
-50536362,hodimvmore,542263,"Не ураган а шторм
Не устойчивость, а остойчивость"
-50536362,hodimvmore,542263,"Не порог ,а комингс."
-50536362,hodimvmore,542263,"Не кровать, а шконка,
Не колокол, а рында"
-50536362,hodimvmore,542263,"[id234055529|Инна], вообще-то судовой колокол, ""рында"" - звон судового колокола в полдень"
-50536362,hodimvmore,542263,"[id672040879|Сергей], звон рынды – это склянка, ""отбивать склянки""."
-50536362,hodimvmore,542263,Не столовая а салон команды.
-50536362,hodimvmore,542263,"Старпом , а не страпон"
